NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
92,0.9688,-7.6204,-1.7682,-5.8536,-11.582,-7.4273,-12.166,-5.9699,-0.79518,-8.0106,-5.7781,-3.5404,-7.2525,-7.8812,-2.651,-2.4656
93,2.8716,-1.8843,-0.87774,-4.3766,-9.8791,-1.3819,-7.027,-10.331,1.982,-0.28607,-11.201,6.0974,-20.46,-21.342,-12.605,-17.804
94,-3.347,7.1632,7.2302,2.6936,-0.44466,6.0476,2.7599,0.63764,-3.4852,-8.8092,12.977,-9.5266,-5.5144,-7.2792,-21.656,-5.3801
95,2.3544,-14.546,-10.764,-17.219,-18.582,-15.616,-14.763,-15.405,2.9019,-2.3537,1.8651,-5.2601,-19.707,-20.798,-21.595,-13.392
96,0.19168,-12.501,-14.153,-13.373,-13.194,-15.405,-10.893,-17.04,-4.3103,-1.8774,-9.1211,-2.4241,-22.334,-22.189,-27.647,-17.69
97,-8.2872,8.8305,2.865,11.461,15.518,6.9673,11.517,4.3095,-11.696,-5.635,-0.6162,-7.2592,-2.1608,-3.2654,-19.568,-4.0786
98,-11.785,7.3343,6.6478,12.731,20.514,8.4054,11.116,10.363,-8.7382,-10.383,12.238,-14.546,17.58,16.105,-4.089,11.823
99,-6.9799,-10.075,-7.4857,-3.778,3.8301,-9.2438,-7.5632,-1.9935,-2.5345,-9.6364,7.5673,-12.856,14.895,14.528,8.4328,10.605
100,-4.6304,-10.756,-12.484,-7.8996,-1.9866,-10.342,-12.401,-5.843,3.1248,-6.0433,-4.7643,-4.5687,2.0036,2.6375,4.1876,-0.80648
101,-0.24532,-9.7154,-11.579,-11.137,-6.4579,-7.2912,-12.11,-3.2592,-1.0067,-7.047,-6.2738,-2.2298,-0.91129,1.0777,-3.5447,-3.1997
102,-0.74536,-8.5431,-10.022,-7.2865,-6.2991,-4.7908,-8.962,-2.827,-1.8858,1.9909,-7.8724,3.8236,0.5458,1.0416,1.18,-2.7941
103,-4.5875,-0.23466,-4.4577,-2.8188,-4.3727,-0.56443,-4.8362,2.3546,-4.4479,-0.36968,-1.2234,-1.3963,7.7765,5.511,8.1911,6.3456
104,-4.7717,3.4336,0.90166,-4.2056,-3.5883,2.464,-1.5244,2.9832,-0.43866,2.3097,3.2009,3.4915,3.4434,-0.0042163,9.5832,1.9527
105,-6.6699,18.412,11.816,10.428,5.5655,20.438,7.5401,6.3073,-0.067797,1.6265,10.664,3.3578,-2.1181,-6.6987,3.1169,0.052849
106,-7.1212,11.469,12.071,7.8793,5.9036,15.323,7.8169,5.3809,-5.78,-10.467,18.582,-9.3325,1.2782,1.1294,1.2663,6.6909
107,-0.9046,-3.4903,1.131,-3.3701,-3.8424,-2.9401,-2.871,-2.9467,-4.3347,-4.2445,7.7103,-2.8364,-4.5486,-4.4199,3.4793,-0.04052
108,2.9818,-6.3821,-3.7361,-2.2298,-3.7715,-9.4803,-7.5514,-8.7081,-6.8668,0.81798,-16.648,-0.79639,-17.187,-15.345,-2.3869,-11.546
109,4.7694,-5.098,2.1123,5.9512,5.6902,-4.7758,2.223,-4.4098,-4.1837,7.5308,-14.579,4.5731,-6.2342,-2.4151,0.77726,-1.3547
110,1.9864,0.64823,4.7463,9.9891,10.585,0.45735,10.181,6.1943,-5.146,-3.5235,-3.6942,-6.2231,6.9887,10.113,-0.74029,5.1748
111,9.6804,-8.1942,-4.0966,-1.0032,-1.7382,-8.5638,2.0022,-1.2748,2.9773,5.5621,-13.185,8.8424,-1.9411,0.63741,2.8238,-3.0822
112,4.3256,-6.8529,-2.9318,2.9576,4.9275,-6.4722,4.7525,-0.44288,-2.6743,-0.16697,-10.596,4.1157,3.1141,6.164,-3.4433,0.25499
113,1.6987,-2.6077,-0.32113,5.3852,14.564,-4.4734,4.5993,0.030822,1.2812,5.292,-8.3071,9.0953,5.8946,10.863,3.877,5.3749
114,2.9149,-16.451,-11.552,-10.816,-2.2599,-16.7,-7.9211,-9.055,2.2788,3.161,-5.9326,6.7191,6.4635,10.755,4.6345,12.322
115,3.8925,-9.2433,-10.946,-8.8697,-9.0367,-10.45,-11.465,-7.3543,6.6071,10.676,-13.063,17.481,-8.7189,-10.284,5.3767,-5.6731
116,-5.8113,19.064,13.214,15.57,13.344,18.467,13.672,12.975,-3.1677,-3.2134,14.365,1.4951,6.2541,0.30069,0.4645,-0.40714
117,-4.4262,13.588,14.492,11.728,9.1101,14.319,15.928,8.512,-1.423,-8.0692,29.256,-7.3348,15.561,11.085,6.8098,18.189
118,1.3594,5.0645,3.6596,2.1513,-1.4379,2.6262,5.2057,-0.86773,5.3634,-4.4148,9.6997,-5.2205,-4.8694,-6.4683,3.1709,3.4158
119,0.13704,15.89,9.1255,9.8824,5.0438,10.284,9.6905,7.0625,4.733,-3.0624,6.5614,-1.2161,-5.3108,-5.9098,-0.1647,-3.7819
120,-1.5381,15.035,11.047,7.8148,2.1977,11.526,8.9749,9.5516,-1.7807,-11.049,15.294,-14.062,6.6162,6.3866,-2.1724,3.4229
121,4.1067,1.244,2.0595,-1.9763,-3.9423,3.2955,1.4709,2.1683,0.46855,-8.1903,3.9304,-13.121,-0.10159,-1.1707,-0.81598,-5.2538
122,-0.92004,6.6321,4.9538,5.3188,4.3124,9.0168,4.7296,5.0057,4.9775,-1.4147,-3.9549,-3.2726,-1.1622,-0.36216,-0.60768,-10.138
123,-0.40759,-9.7803,-5.9386,-9.3182,-7.6021,-6.3177,-6.1851,-1.6961,-0.23421,-6.3477,1.5807,-7.0871,12.732,14.576,4.1204,4.5933
124,3.1191,-21.484,-19.188,-19.798,-16.236,-19.802,-15.421,-15.464,1.4748,2.105,-19.522,3.7785,-2.3463,-2.5467,3.1095,-5.1069
125,0.90644,-3.8768,-10.464,-7.6792,-6.5946,-7.8521,-6.8742,-7.8632,2.1446,7.4045,-23.407,8.1519,-8.7534,-9.1657,-1.5838,-7.8623
126,2.7011,-8.6927,-8.1469,-12.192,-11.492,-9.4661,-8.6556,-5.7511,2.6497,8.3076,-5.8251,8.2498,2.0094,3.5219,1.8734,1.4632
127,5.1122,-9.8332,-8.5719,-11.659,-14.186,-8.5764,-11.464,-10.096,0.66655,11.442,-14.778,12.018,-15.032,-12.824,-2.3105,-13.571
128,-4.0677,22.026,16.307,18.542,11.728,22.358,12.925,10.997,-4.8447,12.664,2.7034,14.629,-6.1067,-5.778,-7.9663,-6.1395
129,-7.0145,16.242,17.968,14.523,10.697,21.271,15.061,18.628,-12.145,-5.4615,27.705,-4.4069,14.872,13.889,-0.48812,13.6
130,-7.894,17.714,17.996,18.448,16.737,20.366,15.011,17.031,-2.6061,-0.64406,21.9,1.9127,9.0457,8.1578,10.152,11.501
131,-10.273,15.633,18.449,21.158,20.144,19.14,14.627,15.555,-2.3548,-6.8677,17.309,-6.5996,8.8786,7.4368,5.775,18.889
132,3.2035,-14.127,-5.4944,-8.4286,-5.8631,-10.588,-11.789,-7.7856,4.6647,1.961,-3.2147,3.2273,-5.0447,-2.1968,9.8707,6.7191
133,0.42928,1.4812,0.31373,2.9022,8.8665,-0.048835,-0.37854,4.2608,-0.53634,-1.0868,3.0945,-0.66046,2.4953,7.7981,1.0522,1.6791
134,-2.1281,9.1511,6.9051,10.706,13.499,7.0971,7.928,13.367,5.0418,3.2258,9.4215,3.0007,9.0302,15.529,2.7294,9.2398
135,6.2093,-23.054,-16.461,-18.356,-15.402,-20.614,-17.856,-10.304,8.5387,2.0829,-8.9661,-2.2686,-4.4614,7.848,-1.092,-0.48214
136,5.2496,-15.585,-10.202,-11.267,-1.6136,-11.306,-10.573,-10.039,10.915,11.546,-17.225,8.111,-6.6644,9.1797,-2.9135,-6.055
137,-2.148,1.4424,1.3217,0.15316,14.673,4.9841,4.9504,2.5579,5.0732,2.758,-6.3338,-1.1831,8.5517,24.649,-1.2445,10.382
138,1.3408,-5.3762,-3.3064,-9.6046,6.8961,0.64366,2.1745,-0.14945,7.2791,3.3884,1.6596,-2.5104,15.344,29.742,7.0332,19.713
139,4.4211,-12.181,-8.7163,-17.297,-7.0604,-3.9361,-2.0313,-10.706,6.5483,2.8634,-7.0506,-7.0158,-0.016952,10.719,1.9437,5.9898
140,11.463,-12.198,-10.875,-16.707,-16.458,-6.1908,-4.9911,-17.281,8.0883,12.599,-19.838,5.3263,-23.941,-18.07,-2.8787,-13.646
141,8.2074,0.27758,-2.1646,-3.104,-5.9394,4.9811,3.2714,-4.1423,0.16067,6.0152,0.58959,0.83724,-14.472,-11.069,-13.865,-12.53
142,1.9817,11.071,7.8875,7.8446,3.8812,14.372,10.537,5.8031,1.6572,4.702,17.566,0.48543,0.92479,0.47349,-10.85,-4.5963
143,1.0711,5.8546,5.5953,5.0642,-3.1422,8.5856,4.1546,-2.0304,2.9501,2.6978,-1.1969,-1.2892,-11.269,-12.922,-14.613,-7.2605
144,6.3219,-2.9772,1.2364,0.0091137,-5.4679,-0.69433,-0.41351,-7.8956,-0.61286,1.4288,-9.7686,0.48929,-11.49,-11.83,-16.127,-7.8482
145,-4.6753,15.051,17.386,22.338,23.079,12.835,24.556,8.2058,-4.8799,-2.2058,9.6675,-1.658,13.644,11.457,-10.734,3.2219
146,-7.2164,4.6444,8.3827,13.772,11.999,2.001,16.53,4.1718,-5.5195,-8.3428,5.349,-6.2283,16.999,13.773,3.3085,15.271
147,-0.00080457,-10.572,-9.1884,-6.7614,-7.9247,-14.004,-5.0057,-9.8671,-1.3743,-4.2396,-11.301,-2.2014,4.2681,1.3182,6.5776,7.3582
148,3.446,-5.3794,-7.324,-6.9867,-7.7202,-9.5762,-5.9484,-8.8263,-0.1963,1.1062,-16.59,-1.1068,-0.62429,-4.7483,1.9778,-6.673
149,-2.6477,2.9661,-1.5207,1.4179,-4.5852,1.0265,-1.3988,-0.52649,-0.13618,3.7672,-9.2175,0.32354,3.6926,-2.5345,1.6063,-8.3109
150,-2.6238,2.9492,-1.5049,1.4661,-4.534,1.0226,-1.4217,-0.53377,-0.07998,3.7885,-9.2342,0.27322,3.6785,-2.4579,1.6243,-8.3109
151,-6.5255,5.8816,1.7137,8.0911,2.096,7.7711,4.3324,6.8735,-3.8405,-2.6487,1.3397,-6.8715,10.99,5.4129,2.4479,7.172
152,-1.2261,-6.0506,-4.7918,-6.8342,-11.364,-3.3346,-5.0344,-0.36748,-2.0021,1.3833,1.1201,-0.72084,8.0712,3.6406,11.913,12.95
153,-0.92605,-0.244,-6.4977,-12.127,-19.098,-3.3469,-8.4507,1.1911,-5.5275,0.29333,0.6353,-0.40584,-3.2808,-10.498,13.048,-6.3625
154,5.9261,-4.8129,-8.4249,-11.269,-18.953,-3.9568,-10.538,-1.6415,0.67904,7.5986,2.4657,10.036,-10.274,-19.698,13.941,-13.936
155,-2.6163,2.9534,-1.5171,1.3739,-4.5973,1.0705,-1.3956,-0.47987,-0.12393,3.7834,-9.1937,0.29101,3.735,-2.508,1.6599,-8.3109
156,-6.5662,5.8457,1.7227,8.0989,2.0884,7.8218,4.3049,6.8178,-3.813,-2.6556,1.3517,-6.8646,10.964,5.3884,2.4225,7.172
157,-1.1917,-6.108,-4.8033,-6.8131,-11.446,-3.2725,-5.0874,-0.37213,-1.9815,1.3706,1.1752,-0.66878,8.0843,3.6411,11.921,12.95
158,-0.88503,-0.22822,-6.5183,-12.126,-19.067,-3.3837,-8.4691,1.2132,-5.5274,0.33743,0.6708,-0.41365,-3.2494,-10.555,13.007,-6.3625
159,5.9045,-4.7188,-8.3477,-11.242,-18.868,-3.9675,-10.543,-1.6967,0.6992,7.6033,2.5159,10.042,-10.297,-19.635,13.961,-13.936
160,10.413,-16.705,-15.515,-14.728,-19.36,-11.26,-17.426,-11.197,-0.49941,6.1417,-0.50362,8.8382,-15.167,-21.134,4.421,-14.064
161,4.9519,-3.0614,-7.1455,-4.2117,-9.0369,-2.4307,-9.4501,-5.4862,-2.3821,10.301,-2.2058,15.412,-13.496,-15.71,-3.7749,-9.3378
162,1.4008,-2.1132,-2.3472,-2.2197,-3.0382,-4.2355,-4.6401,-2.0093,-6.8207,0.81709,-5.2848,4.7877,-9.0139,-10.416,-8.5702,-5.3839
