NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
79,5.2983,-2.8671,0.76828,0.94204,0.15559,-2.4278,-4.1908,-2.5192,15.56,4.9597,-2.7968,7.4933,-4.3581,-1.8648,10.102,-5.095
80,9.6041,-9.0981,-8.4598,-17.996,-19.031,-7.9034,-10.167,-5.9694,6.0928,15.489,-6.1572,13.771,-5.6217,-9.5373,10.539,-14.41
81,4.2219,3.307,-2.9809,-1.3501,-1.1894,5.0548,-2.2669,-4.3,1.6339,11.95,-5.4586,7.1466,-4.1534,-8.8417,5.8736,-12.726
82,6.9459,-7.593,-8.3529,-9.3896,-9.6212,-5.043,-9.1017,-4.8378,-2.9924,10.194,-4.1363,9.4139,-2.4285,-4.7119,0.28195,-3.2984
83,2.2964,-6.6373,-8.5882,-5.5086,-4.4684,-6.8339,-11.643,-8.2852,-7.0958,4.9757,-0.56128,1.2927,-7.7855,-9.9734,-22.234,-10.076
84,-7.0436,7.3323,4.6475,11.212,15.426,8.9268,3.4353,2.5402,6.3666,1.159,27.307,-3.4585,10.901,7.2384,-11.268,12.524
85,-9.7353,1.9753,-3.7106,2.6308,3.1729,-1.6248,-10.254,-5.7783,2.7201,-6.4572,-0.97099,-3.5285,-8.0894,-10.874,1.8353,-6.2327
86,-13.406,16.783,13.155,19.316,19.714,13.556,8.4949,10.464,5.9547,-17.71,22.32,-15.328,18.739,19.552,4.9461,20.596
87,-5.009,10.137,9.164,12.328,11.708,6.8784,4.4814,2.4604,7.4555,-12.128,1.8023,-9.9284,3.5632,8.6152,13.728,12.002
88,-11.732,20.669,15.048,20.031,19.687,18.693,15.089,6.9652,-1.5212,-15.67,14.182,-13.87,15.053,17.397,11.432,22.535
89,-5.5303,4.8917,8.1048,5.1533,4.6274,4.1123,12.642,9.6024,2.022,-17.643,12.18,-14.121,11.677,15.161,18.459,19.231
90,0.78999,1.7713,2.2522,-3.3189,-7.3752,-2.7618,2.0618,-0.89816,-1.1251,-2.4889,-9.3125,-1.5671,-6.5899,-3.4914,-7.1059,-3.5061
91,5.2703,-4.3429,-3.1136,-9.7493,-10.978,-5.7743,-5.4642,-4.5389,-9.2169,1.2956,-10.726,0.26754,-6.7124,-4.4279,-15.515,-7.4787
92,5.1027,-15.466,-11.699,-14.21,-12.251,-10.413,-9.8196,-7.2922,-20.959,3.5352,-18.494,0.085633,-14.038,-13.049,-22.913,-16.707
93,2.0481,-24.568,-17.724,-21.141,-16.391,-17.265,-17.573,-12.728,-19.455,6.3502,-21.563,5.5941,-12.511,-11.814,-21.061,-13.516
94,2.1857,-13.23,-10.137,-13.972,-10.511,-9.3167,-19.94,-8.0798,-17.976,2.0661,-17.494,-1.0102,-10.472,-9.9818,-17.373,-7.4193
95,0.45026,-0.31438,-1.0833,-1.6499,1.4462,-0.43528,-2.463,2.0344,5.9209,3.3049,1.7886,0.36189,5.2347,8.3262,-6.7861,3.18
96,-0.047201,-3.8088,-5.23,-7.62,-1.644,-2.0095,-9.4296,0.58416,7.5578,7.5815,-1.3603,5.4204,5.2468,8.2942,7.4302,7.4233
97,-3.4308,-2.1543,-6.4544,-5.9078,4.5589,2.4317,-8.5647,2.4731,5.8088,0.36488,-1.6837,-3.9542,4.8695,9.9869,12.276,9.8107
98,-5.4077,-2.5598,-4.9929,-5.0943,8.2266,3.1105,-2.4339,0.65895,8.7018,3.7819,2.9158,-0.46501,9.4505,16.497,16.374,16.747
99,-3.3511,-10.611,-10.793,-9.9337,-0.064179,-3.0259,-7.2602,-3.3281,1.2951,-0.42487,-9.4273,-9.6354,-1.7966,6.4512,7.6188,7.0815
100,6.6127,-18.75,-12.782,-18.331,-12.3,-5.3368,-2.8822,-13.609,3.082,-1.2102,-7.405,-6.9923,-4.2826,1.9544,-7.5907,-1.5171
101,5.5006,-2.4964,-4.8911,0.63798,5.0907,10.528,1.5091,-6.7093,10.52,10.162,-9.2053,10.255,-9.069,-5.9089,6.8606,-2.4412
102,-5.5057,1.11,3.0867,4.7849,10.15,12.176,13.466,6.8729,13.326,-7.458,18.266,-5.4279,16.145,16.028,21.794,18.905
103,0.62804,-7.5475,-2.4776,-2.2361,-0.51896,0.52696,3.2251,-1.5474,18.11,-2.3909,4.945,0.40907,0.53751,-3.9296,17.514,-1.4667
104,-8.1053,11.593,7.1432,14.795,12.65,14.211,13.98,0.74505,16.373,-6.8934,11.573,-6.1671,5.0213,-1.1118,-4.6696,-1.8672
105,-1.8486,-14.494,-14.686,-12.177,-16.061,-20.392,-8.1737,-18.968,0.687,1.9419,-23.112,-1.1771,-23.301,-28.534,-22.132,-26.086
106,-11.713,16.381,15.489,22.614,18.099,12.387,22.847,6.2854,-11.818,-5.6903,2.4832,-5.6677,7.0612,3.4796,-16.64,-0.60283
107,-8.5544,10.012,16.125,16.521,13.002,10.271,20.995,12.197,-4.2245,-9.3458,9.6619,-5.8335,18.088,16.085,2.3777,8.2889
108,-7.7312,17.643,23.294,21.573,14.625,19.162,21.647,17.519,-9.7874,-8.8604,15.396,-3.6779,23.522,18.971,9.089,7.774
109,0.16732,7.0678,16.821,7.8908,1.8398,5.968,18.967,15.399,-9.4438,-9.7319,20.954,-0.1365,25.653,21.735,18.807,10.708
110,-11.651,16.372,15.532,22.652,18.101,12.462,22.902,6.2943,-11.838,-5.7091,2.5121,-5.6673,7.1249,3.5272,-16.716,-0.60283
111,-8.537,9.9963,16.107,16.531,12.965,10.246,20.938,12.179,-4.2546,-9.4017,9.6613,-5.8207,18.075,16.007,2.3901,8.2889
112,-7.693,17.581,23.336,21.657,14.617,19.242,21.676,17.582,-9.7197,-8.9249,15.419,-3.6923,23.517,18.992,9.0569,7.774
