NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
92,9.1195,14.021,6.634,3.8141,-2.8337,12.323,7.809,10.322,15.309,7.5503,21.064,17.735,10.112,10.202,8.4412,9.5651
93,-2.5911,11.19,-5.7345,-12.049,11.886,-1.9628,-6.4741,-5.951,7.4701,10.09,9.9619,5.3416,-5.2052,-6.8714,-14.85,-1.6658
94,-4.6701,-10.189,-3.5962,-0.59675,2.2361,0.24517,-0.053916,0.94744,-14.198,-8.7018,2.9752,0.47081,-6.9141,-8.6436,-16.623,-6.3694
95,-2.0179,-5.7832,7.2307,10.539,-3.1251,7.9796,12.139,14.377,-2.4291,2.3347,4.3538,5.8278,7.0577,10.91,8.6604,2.4561
96,12.303,4.0305,7.2057,5.9906,-3.8237,9.4203,6.9229,12.091,12.818,6.0015,15.674,11.601,8.9051,10.993,5.1546,6.8081
97,9.1195,14.021,6.634,3.8141,-2.8337,12.323,7.809,10.322,15.309,7.5503,21.064,17.735,10.112,10.202,8.4412,9.5651
98,-2.5911,11.19,-5.7345,-12.049,11.886,-1.9628,-6.4741,-5.951,7.4701,10.09,9.9619,5.3416,-5.2052,-6.8714,-14.85,-1.6658
99,-4.6701,-10.189,-3.5962,-0.59675,2.2361,0.24517,-0.053916,0.94744,-14.198,-8.7018,2.9752,0.47081,-6.9141,-8.6436,-16.623,-6.3694
100,-2.0179,-5.7832,7.2307,10.539,-3.1251,7.9796,12.139,14.377,-2.4291,2.3347,4.3538,5.8278,7.0577,10.91,8.6604,2.4561
101,12.303,4.0305,7.2057,5.9906,-3.8237,9.4203,6.9229,12.091,12.818,6.0015,15.674,11.601,8.9051,10.993,5.1546,6.8081
102,9.1195,14.021,6.634,3.8141,-2.8337,12.323,7.809,10.322,15.309,7.5503,21.064,17.735,10.112,10.202,8.4412,9.5651
103,-2.5911,11.19,-5.7345,-12.049,11.886,-1.9628,-6.4741,-5.951,7.4701,10.09,9.9619,5.3416,-5.2052,-6.8714,-14.85,-1.6658
104,-4.6701,-10.189,-3.5962,-0.59675,2.2361,0.24517,-0.053916,0.94744,-14.198,-8.7018,2.9752,0.47081,-6.9141,-8.6436,-16.623,-6.3694
105,-2.0179,-5.7832,7.2307,10.539,-3.1251,7.9796,12.139,14.377,-2.4291,2.3347,4.3538,5.8278,7.0577,10.91,8.6604,2.4561
106,12.303,4.0305,7.2057,5.9906,-3.8237,9.4203,6.9229,12.091,12.818,6.0015,15.674,11.601,8.9051,10.993,5.1546,6.8081
107,9.1195,14.021,6.634,3.8141,-2.8337,12.323,7.809,10.322,15.309,7.5503,21.064,17.735,10.112,10.202,8.4412,9.5651
108,-2.5911,11.19,-5.7345,-12.049,11.886,-1.9628,-6.4741,-5.951,7.4701,10.09,9.9619,5.3416,-5.2052,-6.8714,-14.85,-1.6658
109,-4.6701,-10.189,-3.5962,-0.59675,2.2361,0.24517,-0.053916,0.94744,-14.198,-8.7018,2.9752,0.47081,-6.9141,-8.6436,-16.623,-6.3694
110,-2.0179,-5.7832,7.2307,10.539,-3.1251,7.9796,12.139,14.377,-2.4291,2.3347,4.3538,5.8278,7.0577,10.91,8.6604,2.4561
111,12.303,4.0305,7.2057,5.9906,-3.8237,9.4203,6.9229,12.091,12.818,6.0015,15.674,11.601,8.9051,10.993,5.1546,6.8081
112,9.1195,14.021,6.634,3.8141,-2.8337,12.323,7.809,10.322,15.309,7.5503,21.064,17.735,10.112,10.202,8.4412,9.5651
113,-2.5911,11.19,-5.7345,-12.049,11.886,-1.9628,-6.4741,-5.951,7.4701,10.09,9.9619,5.3416,-5.2052,-6.8714,-14.85,-1.6658
114,-4.6701,-10.189,-3.5962,-0.59675,2.2361,0.24517,-0.053916,0.94744,-14.198,-8.7018,2.9752,0.47081,-6.9141,-8.6436,-16.623,-6.3694
115,-2.0179,-5.7832,7.2307,10.539,-3.1251,7.9796,12.139,14.377,-2.4291,2.3347,4.3538,5.8278,7.0577,10.91,8.6604,2.4561
116,12.303,4.0305,7.2057,5.9906,-3.8237,9.4203,6.9229,12.091,12.818,6.0015,15.674,11.601,8.9051,10.993,5.1546,6.8081
117,9.1195,14.021,6.634,3.8141,-2.8337,12.323,7.809,10.322,15.309,7.5503,21.064,17.735,10.112,10.202,8.4412,9.5651
118,-2.5911,11.19,-5.7345,-12.049,11.886,-1.9628,-6.4741,-5.951,7.4701,10.09,9.9619,5.3416,-5.2052,-6.8714,-14.85,-1.6658
119,-4.6701,-10.189,-3.5962,-0.59675,2.2361,0.24517,-0.053916,0.94744,-14.198,-8.7018,2.9752,0.47081,-6.9141,-8.6436,-16.623,-6.3694
120,-2.0179,-5.7832,7.2307,10.539,-3.1251,7.9796,12.139,14.377,-2.4291,2.3347,4.3538,5.8278,7.0577,10.91,8.6604,2.4561
121,12.303,4.0305,7.2057,5.9906,-3.8237,9.4203,6.9229,12.091,12.818,6.0015,15.674,11.601,8.9051,10.993,5.1546,6.8081
122,9.1195,14.021,6.634,3.8141,-2.8337,12.323,7.809,10.322,15.309,7.5503,21.064,17.735,10.112,10.202,8.4412,9.5651
123,-2.5911,11.19,-5.7345,-12.049,11.886,-1.9628,-6.4741,-5.951,7.4701,10.09,9.9619,5.3416,-5.2052,-6.8714,-14.85,-1.6658
