NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
64,-5.9294,16.164,11.364,12.935,10.049,10.927,8.1389,4.8777,6.3198,-4.1686,-4.4981,-6.4032,14.758,10.899,5.9444,10.608
65,-3.8571,6.3902,1.5912,2.8021,1.401,-1.5307,-0.69295,-8.3939,17.846,1.3579,-5.3563,-0.72249,-5.2903,-7.5258,3.013,-8.3447
66,-11.983,5.0928,4.1233,2.4161,2.5562,2.6914,0.38909,-1.9919,14.396,-7.599,26.484,-8.9941,8.4728,7.5037,-2.7568,10.901
67,-1.9662,-20.073,-9.799,-22.266,-22.242,-20.693,-9.2414,-9.4567,13.223,-0.79655,1.5455,-0.74084,-13.008,-13.934,1.2219,-8.55
68,-5.2125,-7.434,-8.8532,-9.4738,-11.081,-9.0014,-13.366,-12.587,3.6375,0.36103,-10.483,1.3965,-19.438,-20.924,-11.349,-19.13
69,-7.718,6.7506,2.5185,4.3516,2.4481,6.5307,-5.5285,-6.3621,-1.963,-0.43121,0.49147,2.9244,-5.3282,-2.97,-4.9605,-2.5165
70,2.8421,-15.211,-9.7447,-15.112,-14.518,-14.737,-13.753,-10.181,-13.872,6.3809,-14.771,7.4867,-17.376,-13.722,8.7285,-17.739
71,4.3077,-10.9,-11.693,-7.9437,-9.295,-10.012,-10.986,-11.242,-16.177,4.0572,-15.534,2.7315,-15.311,-13.01,3.3959,-14.11
72,-2.3101,9.8064,2.64,16.801,16.833,10.811,-3.7847,-5.9494,-10.867,5.1418,2.4444,4.6788,-0.20491,3.1808,2.3082,1.8613
73,-10.127,11.299,9.0602,18.959,23.722,16.449,4.5879,5.9169,-9.7437,-8.7236,18.805,-10.572,16.661,21.179,-1.3457,19.221
74,-2.8388,-0.74355,1.3264,-1.1388,2.8226,2.2895,3.6382,8.2942,-1.402,-3.3438,8.2375,-3.9348,8.7304,11.351,1.5534,6.1745
75,5.0388,-9.1673,-4.2212,-5.6464,-4.4337,-1.8868,1.5528,5.0359,2.2409,7.6899,0.52761,3.0179,4.415,2.1187,-9.3097,-3.6939
76,10.418,-9.063,-3.942,-6.3085,-4.8852,-2.8814,1.8974,7.1371,6.4944,7.4202,-0.74559,2.2214,6.9479,4.2995,-11.404,-4.8108
77,10.158,-3.2198,-4.3609,-0.48836,2.5692,-0.67016,-0.72532,4.8502,7.6718,12.309,-3.7764,12.013,1.3589,-1.4027,-8.3867,-6.0934
78,6.2404,5.4742,2.705,9.9942,9.4838,8.6066,5.5281,5.7708,4.1481,5.8053,2.5023,6.0351,6.3085,4.4668,-10.637,1.4922
79,3.1613,10.237,9.493,10.845,7.228,9.7645,12.442,9.0351,9.032,7.7558,6.429,9.7498,7.1324,7.0108,4.7381,8.1639
80,-1.9421,9.6732,10.589,6.0922,2.8531,4.5928,9.813,6.377,1.5985,-1.7295,5.175,-2.0076,5.4515,9.3294,-22.825,11.664
81,7.37,-5.9711,-2.1942,-13.967,-15.303,-12.69,0.72538,-5.5086,5.9904,3.863,-7.4594,6.1041,-16.747,-13.743,-10.068,-11.119
82,1.247,15.647,4.7515,11.444,14.977,9.7457,-0.6794,-11.495,0.47488,2.6677,4.4121,1.863,-4.4903,-2.5831,-12.263,-0.41074
83,-3.7763,9.9803,7.8756,12.305,16.542,6.3471,5.2286,-1.5424,-7.7545,-9.7485,16.908,-11.265,15.817,16.665,-1.5004,21.716
84,0.030241,1.3119,3.9121,5.9788,8.7281,-1.0821,4.5231,-2.3762,-4.083,-7.3242,-4.7489,-7.4258,3.8036,4.5583,9.8115,8.0559
85,-0.35779,2.1067,6.1159,1.596,5.6724,5.7105,11.138,11.209,1.1343,-9.6202,3.0301,-10.273,14.128,14.318,33.208,15.861
86,3.9267,-13.791,-5.2245,-13.582,-13.084,-9.7061,2.7717,7.4219,6.1651,-5.1917,-8.9231,-6.6839,-4.053,-3.2978,27.533,-1.1441
87,12.463,-17.365,-9.7098,-17.567,-19.805,-14.986,-3.1853,-2.0043,8.9255,5.2211,-16.166,7.3021,-12.875,-12.816,12.332,-13.816
88,19.616,-27.391,-21.01,-25.881,-26.457,-25.52,-15.305,-10.601,7.0041,10.184,-27.937,15.445,-24.412,-24.666,13.249,-27.723
89,20.029,-17.807,-13.624,-14.915,-15.45,-15.081,-20.253,-14.35,-1.428,18.58,-22.444,21.344,-16.621,-18.513,17.078,-21.439
90,4.9287,7.0617,4.4283,10.694,8.5031,7.6069,-3.9282,-6.9239,-4.8418,11.174,1.9795,12.052,-2.002,-1.8146,1.5908,-3.2626
91,-4.2093,23.504,17.119,23.687,24.625,27.209,9.0688,5.9542,-6.5848,-2.7794,27.309,-4.9746,22.753,20.28,1.3145,19.362
92,-8.116,32.337,20.712,29.841,27.281,38.369,11.728,15.653,-0.79735,-4.0269,32.657,-3.5781,26.972,24.253,12.67,27.299
93,-10.775,13.991,12.929,14.7,10.87,20.221,11.542,17.432,2.7613,-13.063,32.155,-10.94,23.549,21.37,12.054,23.186
94,1.4424,-11.697,-1.8073,-13.396,-14.274,-10.381,6.6715,7.4713,12.589,-1.7679,1.3155,1.036,-1.6604,-4.0484,7.6429,-2.3001
95,-7.6274,1.8155,-2.0822,-2.2205,-1.3364,2.3107,6.1365,-2.2071,-1.1851,-3.5888,6.5878,-3.6987,3.6338,0.29452,-5.7886,4.382
96,-8.9444,-1.2335,-9.3801,-5.363,-3.4675,-7.0275,-0.61558,-8.9791,-3.8001,-9.2423,-10.707,-9.1531,-13.201,-12.743,-8.335,-8.4027
97,-19.582,17.209,3.0068,14.791,18.897,11.722,2.536,-2.7652,-7.5771,-11.86,5.2163,-9.2071,3.0025,5.5593,-8.0442,9.2837
98,-21.693,13.552,11.003,14.974,17.054,15.948,10.426,8.2881,-3.5802,-21.429,23.125,-22.859,24.001,27.97,-10.988,28.041
99,-5.8057,-21.511,-5.8984,-16.626,-14.995,-14.423,2.9805,2.8204,11.067,-9.3785,-7.413,-11.7,-4.216,3.9645,-0.72409,1.4952
100,8.3195,-16.63,-12.941,-19.77,-15.201,-12.168,-14.308,-13.402,-13.603,13.037,-23.954,7.7635,-18.556,-13.312,-26.417,-20.107
101,3.9127,3.1937,-2.4402,-1.04,1.7095,7.7313,-6.1704,-10.845,-17.517,9.9983,-6.304,5.2652,-4.1883,-1.7526,-32.721,-9.7207
102,12.991,-13.552,-11.461,-13.623,-10.767,-10.508,-6.9979,-9.8113,-8.1277,12.586,-18.557,10.836,-22.982,-21.667,-30.768,-21.644
103,9.9175,4.2196,-1.6033,2.9625,5.3348,3.3663,-5.3077,-5.9362,-12.021,11.195,-6.2739,10.32,-10.846,-13.892,-35.186,-12.461
104,0.73435,11.311,5.6602,9.3827,9.6464,14.243,4.894,4.0675,-15.552,3.5568,13.968,1.6412,11.247,3.7132,-20.912,7.6196
105,-2.0281,9.7811,5.486,8.0209,7.2299,9.5598,3.3035,14.169,-5.5581,4.7883,15.174,-0.83477,9.6455,1.0671,15.971,5.8752
106,-1.048,3.1095,2.5369,2.4824,2.5902,0.53808,-1.2804,11.266,1.6436,4.126,14.877,0.29348,9.7454,3.6318,24.645,5.9772
107,2.612,-11.6,-5.5561,-10.312,-11.588,-16.629,-3.7605,6.1826,6.0192,2.171,0.11135,1.5165,-8.2134,-8.8522,26.59,-6.6606
108,8.8028,0.034137,-1.1399,-4.0887,-9.5005,-6.4934,-3.2202,-0.023743,8.2944,10.914,-9.0919,12.535,-11.314,-10.79,24.783,-8.5287
109,3.3525,2.2132,-3.7817,-2.4454,-8.8568,-0.21897,-4.9679,-2.8642,0.72556,4.1241,1.6116,2.6147,1.2098,0.20035,8.2627,-1.4411
110,-9.8815,19.942,10.717,15.548,12.048,17.435,2.5342,0.64713,1.2345,-6.5415,7.4042,-6.6613,8.6116,7.7684,-7.4479,5.8649
111,-11.598,9.9199,13.287,7.7063,5.4868,9.7007,9.5519,11.153,5.5198,-9.1791,15.814,-8.1466,20.979,22.614,-6.3038,19.263
112,-3.3209,-12.287,0.066866,-10.468,-11.984,-12.269,1.0974,3.8513,7.0151,-7.6824,-9.0666,-7.3705,-0.87182,1.425,-7.4565,5.8379
113,-1.7889,-1.5471,3.7957,1.7358,-2.7813,-1.9974,-2.997,-3.0904,1.3429,0.31372,-17.266,0.94776,-8.0765,-6.3113,3.3867,-3.4255
114,-2.6868,5.6876,2.9341,4.2116,1.8807,2.6451,-2.2872,2.713,-1.0564,-8.0516,-9.0928,-10.211,0.10837,0.81804,16.987,2.3365
115,-9.8815,19.942,10.717,15.548,12.048,17.435,2.5342,0.64713,1.2345,-6.5415,7.4042,-6.6613,8.6116,7.7684,-7.4479,5.8649
116,-11.598,9.9199,13.287,7.7063,5.4868,9.7007,9.5519,11.153,5.5198,-9.1791,15.814,-8.1466,20.979,22.614,-6.3038,19.263
117,-3.3209,-12.287,0.066866,-10.468,-11.984,-12.269,1.0974,3.8513,7.0151,-7.6824,-9.0666,-7.3705,-0.87182,1.425,-7.4565,5.8379
118,-1.7889,-1.5471,3.7957,1.7358,-2.7813,-1.9974,-2.997,-3.0904,1.3429,0.31372,-17.266,0.94776,-8.0765,-6.3113,3.3867,-3.4255
119,-2.6868,5.6876,2.9341,4.2116,1.8807,2.6451,-2.2872,2.713,-1.0564,-8.0516,-9.0928,-10.211,0.10837,0.81804,16.987,2.3365
120,-9.5982,8.1994,9.694,10.677,11.153,10.178,7.19,4.683,17.205,-15.274,25.01,-15.055,23.09,25.146,17.895,26.096
121,0.48173,-16.8,-4.7582,-14.117,-11.804,-15.335,2.6967,-2.2853,29.063,-5.299,1.1383,-0.83531,-3.9066,0.56907,17.038,-1.5122
122,0.66075,5.4443,-0.76192,5.6837,5.4011,0.59852,1.8573,-3.9027,25.809,0.95819,-7.2469,3.5797,-13.247,-8.4658,6.4703,-14.944
