NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
83,-1.6635,2.5372,1.2228,-5.6625,-7.4873,1.8751,-0.10616,1.9756,-11.911,1.2427,2.1729,4.1799,-0.55154,-5.9785,-6.6322,0.14707
84,6.9805,-4.9275,1.0519,-3.7621,1.7807,0.10172,0.052534,2.6009,-0.14106,5.2663,-4.943,0.16545,-0.14469,-2.5023,-5.9262,-0.9806
85,-1.1265,3.1444,-3.97,-2.759,0.78228,-5.6409,-4.0968,-4.7045,6.1856,-0.70036,-4.9686,-5.8297,-5.7284,-9.9655,-1.9397,-11.312
86,0.29107,10.257,-1.4561,-3.6255,-0.76419,-4.88,-1.5529,-3.0992,10.967,1.6236,0.81538,0.084048,0.29049,-4.6307,-0.9399,-4.5077
87,9.6082,6.2541,5.2831,5.3114,-1.5831,3.0531,5.7229,4.4622,10.753,-3.0427,0.66253,3.1073,2.9532,-2.7005,-1.323,3.2216
88,12.757,-1.6312,5.8479,10.294,-7.1012,6.3979,9.4236,10.007,12.956,-2.8812,3.1358,7.3814,6.5076,3.7873,0.85964,17.009
89,17.485,-3.1784,-6.8234,-11.181,-0.40207,-2.307,-4.892,-1.8071,8.9052,-7.7511,-1.2148,3.1366,3.5856,4.9738,-0.93321,2.4801
90,-1.1153,3.1365,-3.9652,-2.785,0.73044,-5.6143,-4.1026,-4.6644,6.1467,-0.67199,-4.9531,-5.7881,-5.7258,-10.049,-1.9421,-11.312
91,0.23878,10.206,-1.4859,-3.5742,-0.82137,-4.9428,-1.5186,-3.1525,10.979,1.6406,0.80796,0.11388,0.2412,-4.5516,-0.85454,-4.5077
92,9.5637,6.2744,5.2791,5.2998,-1.4873,3.0033,5.6709,4.521,10.78,-3.1128,0.65433,3.1643,2.9336,-2.6769,-1.411,3.2216
93,12.751,-1.6468,5.8972,10.383,-7.1636,6.4229,9.3712,10.012,12.978,-2.9145,3.1295,7.3879,6.5247,3.8121,0.84877,17.009
94,17.574,-3.1569,-6.7557,-11.209,-0.43588,-2.3305,-4.8726,-1.8469,8.9086,-7.7712,-1.1726,3.1509,3.5969,5.003,-0.89475,2.4801
95,-1.0727,3.1406,-3.9983,-2.6955,0.72959,-5.5827,-4.0997,-4.6709,6.1923,-0.71915,-4.9985,-5.791,-5.6547,-10.04,-1.9205,-11.312
96,0.27937,10.26,-1.4368,-3.5919,-0.75073,-4.902,-1.5427,-3.133,10.915,1.5918,0.87207,0.080973,0.24572,-4.6395,-0.90167,-4.5077
97,9.5614,6.2794,5.3154,5.3307,-1.4871,3.046,5.6843,4.4862,10.831,-3.1182,0.64945,3.1722,2.8857,-2.6771,-1.4116,3.2216
